Word,Polar
从..开小差,-1
偷盗,-1
不置可否,-1
直诚,1
挢,1
未必,-1
才略,1
明理,1
逃生,-1
口齿不清,-1
无礼貌,-1
令人钦佩的,1
晦暝,-1
纯挚,1
声名狼藉,-1
战败,-1
进行威胁,-1
拿手,1
娇柔,1
晴和,1
撞击,-1
灰蒙蒙,-1
愚痴,-1
宝贵,1
歌唱,1
实现,1
祭,1
名手,1
路不拾遗,1
可亲,1
把..吓出来,-1
臭酸,-1
骁悍,1
练成,1
娇黄,1
高价地,-1
使变暗,-1
刮出刺耳声,-1
最有效地,1
习气,-1
严寒的,-1
自私,-1
透露,-1
无休止,-1
疲累,-1
定然,1
挨饿,-1
强化,1
刚劲有力,1
不管用,-1
贪得,-1
成长,1
紧紧,1
孝子,1
尖酸,-1
深意,1
恶有恶报,-1
砰声,-1
蠢举,-1
严师,1
回归,1
苛,-1
昏愦,-1
去你妈,-1
獪,-1
费功夫,-1
箴言,1
不留心,-1
身败名裂,-1
打死,-1
棼,-1
降级,-1
对劲,1
成为,1
登高,1
当不起,-1
绊脚索,-1
清澈的,1
对..起反作用,-1
妙语,1
乱腾腾,-1
有理有据,1
板着脸,-1
干你祖宗十八代,-1
傲慢无礼,-1
篡国,-1
将..弄糟,-1
光芒四射,1
相悦,1
吃后悔药,-1
亲昵,1
为耻,-1
标致,1
乞降,-1
低潮,-1
命运注定,-1
一律,1
使延期,-1
暧,-1
醒眼,1
神经质,-1
坚固,1
凄寒,-1
不充分,-1
天才人物,1
不争,1
无瑕疵,1
铿锵,1
哈欠,-1
从容不迫的,1
喜欢吵架,-1
装相,-1
专制,-1
没有头脑,-1
食人,-1
易懂,1
完完全全,-1
捉摸不定,-1
易理解的,1
深味,1
骗人,-1
秉承,1
目光灼灼,1
天然的,1
正经八百,1
光明的,1
流出,-1
欺生,-1
诡计多端,-1
奇迹的,1
浓香,1
隐隐约约,-1
勒诈,-1
荣誉,1
顽固的,-1
千人一面,-1
懒人,-1
有乐趣,1
醒豁,1
造作,-1
犹豫不前,-1
冤仇,-1
门外汉,-1
家破人亡,-1
使迟钝,-1
饿得要死,-1
傲慢的,-1
倔强的,-1
猪头,-1
支付利息,-1
低产,-1
赐教,1
畏罪,-1
壮伟,1
写实的,1
花着,-1
贴切,1
才识,1
酸腐的,-1
事故,-1
精熟,1
平实,1
心灰意懒,-1
咒,-1
谲诈,-1
不好卖,-1
愁思,-1
节用,1
入眼,1
逸趣,1
次要的,-1
勾引到,-1
韧性,1
脱离常规的人,-1
伸手,-1
没有搀杂,1
嫉,1
宽心,1
破坏..的基础,-1
仰慕,1
内阻,-1
辉煌的,1
错处,-1
俘虏,-1
悔,-1
手艺,1
携贰,-1
盗寇,-1
人事不省,-1
无怜悯心的,-1
多疑,-1
狡诈,-1
黛蓝,1
固定的,1
可用的,1
兼爱,1
犒劳,1
世故,-1
抄你爸,-1
阐明,1
短平快,1
平白无故,-1
色魔,-1
等身,1
交疲,-1
碜,-1
误区,-1
粗重,-1
防水的,1
劳累,-1
无政府主义者,-1
善举,1
凉,-1
澄空,1
成效,1
使受危困,-1
犯憷,-1
羞于,-1
起敬,1
含糊不清,-1
甘愿的,1
伤心惨目,-1
鳞状,-1
使沦为乞丐,-1
窗明几净,1
持久的,1
清纯,1
赤,1
品茗,1
单,-1
缺席,-1
赘,-1
春色,1
有纪律,1
匡扶,1
使烦燥,-1
崭亮,1
举行凯旋式,1
适用,1
熟透,1
后生可畏,1
论争,-1
无关,-1
救荒,1
谐美,1
秽语,-1
踊跃,1
准许,1
别离,-1
满腹牢骚,-1
造谣,-1
一尘不染,1
怒气冲冲,-1
汇集,1
易被瞒,-1
甜香,1
盛赞,1
大度,1
该咒骂的,-1
破落的,-1
歪歪扭扭,-1
嫣然一笑,1
和好,1
涟漪,1
万能的,1
粗糙的,-1
子虚,-1
歇斯底里的,-1
害虫,-1
灵秀,1
成为空的,-1
不规则,-1
攀高枝儿,-1
私下,-1
芴,-1
闹别扭,-1
蚕食,-1
致意,1
诛灭,-1
丰姿,1
与世无争,-1
摇摆,-1
独断,-1
风景如画,1
感到抱歉,-1
虚浮,-1
恳求,1
嫌厌,-1
退出,-1
熏陶,1
打家劫道,-1
发脾气,-1
甩不甩,-1
宁,1
际逢,1
惊跳,-1
谨厚,1
可惜,-1
见微知著,1
淘神,-1
无生命,-1
阴毒,-1
抛弃,-1
杂税,-1
如死一般地,-1
不堪造就,-1
唾沫飞溅,-1
赶出,-1
簇新,1
混乱,-1
压迫的,-1
想入非非,-1
叛国者,-1
胡涂,-1
鲜亮,1
有差别,-1
精神不振,-1
文抄公,-1
嘴馋,-1
柳暗花明,1
一掌,-1
扭伤,-1
恶煞,-1
干瘪,-1
确守,1
褒奖,1
使人痛苦的,-1
夹生,-1
整洁的,1
首创,1
熟路,1
狠打,-1
活泛,1
凶年,-1
使恐怖,-1
名人,1
牢不可拔,1
冠军的,1
奸险,-1
笑柄,-1
有目共睹,1
盛举,1
恳挚,1
阔少,-1
低端,-1
得罪,-1
借古讽今,-1
耿介,1
炜,1
彪壮,1
酒鬼,-1
革新的,1
自相残杀,-1
遐想,1
何妨,-1
坚决,1
轻淡,-1
辛苦,-1
不成为问题的,1
眼睛狗到蛤仔肉,-1
和易,1
吓呆的,-1
掴..耳光,-1
争雄,1
滔天,-1
零碎,-1
变化无常,-1
细碎,-1
凄怨,-1
功利主义者,-1
自称,-1
逸韵,1
雍和,1
令人怀疑的,-1
找碴,-1
神经,-1
装作,-1
没手,-1
刮落,-1
鲜明的,1
丧友,-1
苦役,-1
无缺点,1
枯槁,-1
秘,-1
厄境,-1
英才,1
安身立命,1
别致,1
未知数,-1
英姿勃勃,1
丑,-1
凶焰,-1
国仇家恨,-1
肥,1
铁面无私,1
尊服,1
令人难忘,1
有光泽,1
学不来,-1
前锋,1
清润,1
无计划,-1
嗜杀成性,-1
无决断力,-1
胆识,1
不值钱的,-1
驾轻就熟,1
意志,1
苗子,1
献艺,1
属实,1
有够累,-1
游赏,1
凋谢的,-1
挟怨,-1
妙算,1
诤谏,1
活便,1
追赶,-1
杀人罪,-1
语焉不详,-1
赴汤蹈火,1
智力,1
安妥,1
置辩,-1
甲级,1
小偷,-1
圆柔,1
劣迹,-1
鸡零狗碎,-1
盗卖,-1
被吼叫着表达出来,-1
羞羞答答,-1
使凌乱,-1
憋屈,-1
免除的,1
自作,-1
无比的,1
远大,1
使不正常,-1
顺风转舵,-1
精灵,1
文静,1
魔鬼般,-1
混蛋,-1
障碍,-1
後退,-1
平安,1
喝彩,1
横生枝节,-1
自高自大,-1
文武兼备,1
懒洋洋,-1
掉下,-1
荦荦,1
胜友,1
烦乱,-1
动摇,-1
多趣,1
批评为,-1
奔驰,1
进军,1
不景气的,-1
荒唐,-1
倒帐,-1
啪的一声甩,-1
家长式,-1
私吞,-1
错综复杂,-1
伤风败俗的,-1
担待,1
随声附和,-1
拒绝承认,-1
工作过度,-1
周正,1
美丽的,1
埋没,-1
欲,1
多劳多得,1
喜盈盈,1
爽怡,1
火急火燎,-1
人心惶惶,-1
欢实,1
猛扔,-1
戒惧,-1
资源,1
孤独的人,-1
天香国色,1
如愿以偿,1
野草,-1
赞许的,1
不健康,-1
磨不开,-1
发人深省,1
引诱,-1
郁怒,-1
俭,1
精锐,1
